Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_testsuite_001,Chrome 121.0.0.0,,,07-02-2024 11:36:51,07-02-2024 11:37:27,36.136s,FAILED
,,,,,,,
Test Cases/Amazon_testcase_001,Chrome 121.0.0.0,,,07-02-2024 11:36:51,07-02-2024 11:37:27,35.645s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 11:36:52,07-02-2024 11:36:56,3.607s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,07-02-2024 11:36:56,07-02-2024 11:36:56,0.899s,PASSED
"click(findTestObject(""Object Repository/Amazon_testcase_001_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Sign in""))",Chrome 121.0.0.0,,,07-02-2024 11:36:56,07-02-2024 11:37:27,30.462s,FAILED
